the_geom,amenity,name,cartodb_id
0101000020E6100000F3BA3434541B0DC091966F229F384440,restaurant,Happiness,291
0101000020E6100000DA9FD513A7A40CC0A7655A51393C4440,restaurant,Al Traste,293
0101000020E6100000A0D7E95102AC0CC0DFDA2ED91D3C4440,restaurant,La Escondida,294
0101000020E6100000B06AB52C049E0CC0CD470845A93C4440,restaurant,La Plaza,295
0101000020E6100000232CCF2802A10CC0766C04E2753C4440,restaurant,Siena,296
0101000020E61000004692C5A28EA30CC0E52BDC4D4B3C4440,restaurant,Buffet Libre La brasserie,297
0101000020E610000044FD892540A80CC055185B08723C4440,restaurant,Al Tran Tran,298
0101000020E6100000FBEF1C250AA80CC0B8191307753C4440,pub,Al Tran Tran,299
0101000020E610000050792A96110D0DC0CA52EBFD463C4440,pub,Breaking Bar,300
0101000020E610000069A5B50EB31C0DC045076EEEF93C4440,pub,Bar Restaurante Miño,302
0101000020E6100000B3E501D138190DC0E881340818384440,restaurant,Jota Cinco,308
0101000020E610000004B39D4A61190DC08FC6A17E17384440,restaurant,Mamma Juana,309
0101000020E6100000FB1983F34E1A0DC043F34AA313384440,restaurant,La Taberna de Juan,311
0101000020E61000002B6222EF66170DC0453A4DB049384440,restaurant,Grant's,313
0101000020E61000004D028A4798180DC0B719B84D02384440,restaurant,Go,323
0101000020E6100000EAA16C8088130DC0EE06D15AD1384440,restaurant,Matsuri,324
0101000020E6100000E690798956130DC07B116DC7D4384440,restaurant,Unus,325
0101000020E6100000AEBDAA0E14130DC0E6A7829BD6384440,restaurant,Carlos,326
0101000020E610000020402BD5AA120DC014F29C88D9384440,restaurant,El Ratito,327
0101000020E61000000D874AC8AC130DC025462AE7E6384440,restaurant,Eu Mundo,328
0101000020E6100000850838842A150DC0C61858C7F1384440,restaurant,Casa Tampico,331
0101000020E6100000C44142942F380EC06848CB3791424440,pub,Tío Antonio,346
0101000020E6100000042AD2B30F380EC01700F4458C424440,pub,Hermanos Rodríguez,347
0101000020E6100000181A99918B3B0EC072DF6A9DB8424440,restaurant,Asador Ricardo,348
0101000020E610000082C5E1CCAF360EC044A275F97B424440,restaurant,Mesón del Pardo,349
0101000020E61000003AB8CF85EC670DC00EFB986AC1404440,restaurant,La Pepa,351
0101000020E61000007722D2808B7F0DC07E1EA33CF33A4440,restaurant,Alfredo's Barbacoa,353
0101000020E6100000CE78115C9B9C0DC0A614CF34BC3D4440,restaurant,Los Montes de Galicia,355
0101000020E6100000516C054D4BAC0DC05D0E057D333D4440,pub,Uceda,356
0101000020E6100000310917F208AE0DC0011EAC5A2D3D4440,pub,Lemo's,357
0101000020E610000061D6D52EB7A50DC013DD6921B73C4440,pub,El 22,358
0101000020E61000007695A42199A40DC05E17D929B13C4440,pub,Las Rejas,359
0101000020E61000000B08AD872FA30DC03FCAE3C4B23C4440,pub,Altamira,360
0101000020E6100000B1E6B63302A00DC0576B1789BF3C4440,pub,Zabala,361
0101000020E61000007BC84A8226A80DC0B22FD978B03C4440,pub,San Antonio,362
0101000020E61000000053AB54F5A70DC053B70E69AF3C4440,pub,El cachirulo de Plata,363
0101000020E6100000ABAEE87BB2A70DC0DACC7C62F83C4440,pub,Casa Pepe,364
0101000020E6100000CD0AA07312B50DC0F23BF2AC493D4440,restaurant,La Casa de Yu,365
0101000020E6100000606C6B555CA60DC0359314FD463D4440,fast_food,Burger King,366
0101000020E6100000406D54A703A90DC0F4E38AE65C3D4440,fast_food,McDonald's,367
0101000020E6100000ACB3B51902AB0DC07D40A033693D4440,restaurant,VIPS,368
0101000020E6100000BCFF345AB3AA0DC01E3526C45C3D4440,restaurant,TGI Fridays,369
0101000020E6100000996B2CBC26BF0DC01E5EC603803D4440,pub,La Carabela,370
0101000020E6100000249DDC4A0A570DC0ECAB06BC27414440,restaurant,La Nicoletta,373
0101000020E610000071DDDE7F75A60DC0511B30A3B33C4440,pub,Pradena,374
0101000020E610000023AFBD05C8560DC0F25597F848414440,restaurant,Kobe,376
0101000020E610000012E22593AE540CC066B098C750374440,college,I.E.S. Miguel Catalán,386
0101000020E6100000701008CFDF1F0EC0F22213F06B2B4440,college,I.E.S. Luis Vives,397
0101000020E61000004BBA1C65B3F90DC095BE6B2B512A4440,college,I.E.S. María Zambrano,398
0101000020E610000047D0F302479D0DC0EBD67CA6A8364440,college,Colegio Marín Amat,495
0101000020E6100000596144EC5D8D0DC0DDC2047F092E4440,college,Colegio Nuestra Señora de Gracia,508
0101000020E610000002E1F9FB7B2F0DC0024BAE62F1374440,college,Colegio Begoña,514
0101000020E6100000997BED3E6CAE0DC010898C58D5354440,college,I.E.S. Santa Teresa de Jesús,538
0101000020E6100000B9A6406667510DC07C0A25389A364440,college,Colegio Virgen de La Luz,539
0101000020E6100000C3842C66DF500DC08F72309B00364440,college,Colegio Stoa Liceo,544
0101000020E6100000DD19B7E22C660DC02B0A05B694404440,restaurant,Ôven,1651
0101000020E6100000791D160F94000DC08DD0CFD4EB364440,college,I.E.S. Barrio Simancas,555
0101000020E61000005081DDFAFABB0DC02D04DE6EEE3A4440,college,I.E.S. Virgen de La Paloma,558
0101000020E6100000AE7081BA37050EC0CB55E2F0382F4440,college,Instituto Politécnico nº 1 del Ejército,561
0101000020E61000005787ED388F840DC03B17EBC0DE2B4440,college,Instituto San Cristóbal de los Ángeles,562
